angle_mag_quantile_050,angle_max,angle_mean,angle_quantile_010,angle_quantile_025,angle_quantile_070,frame,magnitude_max,magnitude_mean,magnitude_quantile_010,magnitude_quantile_025,magnitude_quantile_050,magnitude_quantile_070,model
1.6456348299980164,6.2831854820251465,2.0339395999908447,1.190188467502594,1.4757821261882782,2.030271351337433,0,30.833980560302734,7.838998317718506,0.004033784149214625,0.28452567756175995,7.66191291809082,13.650059461593628,opencv_speed
1.6407617926597595,6.283072471618652,2.041912078857422,1.1761255264282227,1.4697686731815338,1.988928198814392,1,47.42966842651367,8.251201629638672,0.0025547558441758166,0.272672139108181,7.876911401748657,14.265775203704834,opencv_speed
1.6479821801185608,6.2831854820251465,2.0841894149780273,1.2392059922218321,1.4862056970596313,2.077144980430603,2,40.20604705810547,8.024991989135742,0.002153802965767682,0.3332495540380478,7.434468746185303,13.818857192993164,opencv_speed
1.6454365849494934,6.2831854820251465,2.096069574356079,1.1021541237831116,1.4861225187778473,2.072971224784851,3,30.74382972717285,7.756230354309082,0.0038105698768049483,0.30357590317726135,7.787317752838135,13.388030767440796,opencv_speed
1.6857377290725708,6.2831854820251465,2.034276247024536,1.280185914039612,1.559782236814499,2.016475260257721,4,31.910114288330078,8.095430374145508,0.0013328282162547115,0.26133567839860916,8.413403034210205,13.606618881225586,opencv_speed
1.7046915888786316,6.2831244468688965,2.0671257972717285,1.300589668750763,1.5506252646446228,2.0395278334617615,5,33.73448181152344,7.9212870597839355,0.0017396617913618684,0.27095408737659454,7.7759857177734375,13.112199068069458,opencv_speed
1.6640247106552124,6.2831854820251465,1.957310676574707,1.2788604617118835,1.5468218326568604,1.8922297656536102,6,35.3115234375,8.242277145385742,0.0009033368667587639,0.3309135138988495,8.638888359069824,13.785144805908203,opencv_speed
1.703692615032196,6.2831854820251465,2.076322555541992,1.3731220006942748,1.5754517912864685,1.9376085698604584,7,35.76466369628906,8.845221519470215,0.00035683851747307936,0.34341809153556824,9.551289558410645,14.279506206512451,opencv_speed
1.7350048422813416,6.2831854820251465,2.041853666305542,1.3497902154922485,1.5941452980041504,1.9681165516376495,8,41.8292236328125,8.50289249420166,0.00016936067695496628,0.39125798642635345,9.200273990631104,13.481308460235596,opencv_speed
1.6814058423042297,6.2831854820251465,2.0763983726501465,1.268718159198761,1.5341508090496063,2.0887399911880493,9,43.72285079956055,8.82358455657959,0.0010909562814049424,0.44286948442459106,8.473887920379639,14.255094289779663,opencv_speed
1.712026834487915,6.283149719238281,2.1223747730255127,1.3610636591911316,1.5567181408405304,2.1682883501052856,10,50.817352294921875,9.321243286132812,0.0005758861894719308,0.3689807206392288,8.547597408294678,15.208466291427612,opencv_speed
1.6884700655937195,6.2831854820251465,2.0378830432891846,1.294732129573822,1.5266274809837341,1.9864291846752167,11,40.627235412597656,9.063800811767578,0.00038997364172246315,0.3360874876379967,8.558554649353027,15.135230779647827,opencv_speed
1.6999769806861877,6.2831854820251465,2.0454554557800293,1.235942530632019,1.504106491804123,2.0150592923164368,12,48.929115295410156,9.101739883422852,0.00017094944923883306,0.42482107877731323,8.832919597625732,14.586934089660645,opencv_speed
1.6901150941848755,6.2831854820251465,2.0704524517059326,1.1963991045951845,1.4708109498023987,2.0535186529159546,13,40.488033294677734,9.085137367248535,0.0012371873133815827,0.5881440490484238,8.583226680755615,14.886304378509521,opencv_speed
1.708365261554718,6.2831854820251465,2.0638935565948486,1.2122505187988282,1.47432941198349,2.1116362810134888,14,40.57350158691406,8.699102401733398,0.0009748958400450662,0.4405050128698349,8.137729167938232,14.317209243774414,opencv_speed
1.7240245342254639,6.2831854820251465,2.062828540802002,1.1879154443740845,1.485446810722351,2.1293927431106567,15,35.37190246582031,8.854818344116211,0.00025138520868495193,0.3962762579321861,8.443305492401123,14.995767831802368,opencv_speed
1.7341442704200745,6.2831854820251465,2.0569944381713867,1.3208044886589052,1.5200746953487396,2.066103518009186,16,37.77531433105469,8.495865821838379,0.00013419238093774786,0.25726374238729477,8.110521793365479,14.464035034179688,opencv_speed
1.6917585730552673,6.2831854820251465,2.0741958618164062,1.294434916973114,1.5283281803131104,2.05545312166214,17,36.98365020751953,8.889460563659668,0.001054672349710018,0.30543510615825653,8.556756973266602,14.711511373519897,opencv_speed
