id,frame,count,sum,min,max,n1,n2,n3,n4,n5,b1,b2,b3,b4,b5,avr
10,330,18,136672.77913305265,697.3275268976857,24046.84377436765,7.1379066230002e-05,0.00010706859934500304,1.1896511038333667e-05,1.1896511038333666e-05,1.1896511038333667e-05,697.3275268976857,5367.230776391679,10037.13402588567,14707.037275379664,19376.94052487366,7592.932174058481
11,360,18,151044.07629330875,1416.1991687152627,26650.201962375013,8.806459444399258e-05,6.604844583299444e-05,1.1008074305499071e-05,2.2016148610998152e-05,1.1008074305499076e-05,1416.1991687152627,6462.999727447214,11509.800286179165,16556.600844911118,21603.401403643067,8391.337571850487
12,390,25,117209.59773360187,495.7733971416533,18663.089826100317,0.00015412292789356637,8.807024451060941e-05,1.1008780563826167e-05,1.1008780563826174e-05,1.1008780563826174e-05,495.7733971416533,4129.236682933386,7762.699968725117,11396.16325451685,15029.626540308582,4688.383909344075
13,420,16,118495.35149874484,1716.5408664477966,20255.80255372548,0.00015170507043061165,6.742447574693848e-05,0.0,1.6856118936734626e-05,3.371223787346924e-05,1716.5408664477966,5424.393203903332,9132.245541358869,12840.097878814404,16547.950216269943,7405.959468671553
14,450,28,123118.03596879802,1590.3656101065287,8617.130870255796,0.00022871731125805636,0.00017789124208959935,0.0001270651729211424,5.082606916845696e-05,0.0001270651729211424,1590.3656101065287,2995.718662136381,4401.071714166234,5806.424766196089,7211.7778182259435,4397.072713171358
15,480,29,149918.50087702286,1970.1224383193946,17006.45733356792,0.00020639659182123947,8.026534126381535e-05,3.439943197020657e-05,0.0,1.1466477323402188e-05,1970.1224383193946,4977.389417369099,7984.656396418803,10991.923375468508,13999.190354518212,5169.60347851803
16,510,32,118661.86757199447,1431.3031834859619,12378.607664378298,0.00028545839804259063,8.563751941277717e-05,5.70916796085181e-05,1.4272919902129525e-05,1.427291990212954e-05,1431.3031834859619,3620.764079664429,5810.224975842897,7999.685872021365,10189.146768199831,3708.1833616248273
17,540,29,132083.64063185634,1381.3871940186345,11559.727156790215,0.0002371499785109354,0.0001524535576141728,1.6939284179352527e-05,1.6939284179352533e-05,6.775713671741013e-05,1381.3871940186345,3417.0551865729512,5452.723179127267,7488.391171681585,9524.0591642359,4554.608297650218
18,570,23,117747.65444180588,1583.816824601404,19636.102838230727,0.00019267703087238704,3.612694328857256e-05,3.6126943288572584e-05,0.0,1.2042314429524194e-05,1583.816824601404,5194.274027327268,8804.731230053134,12415.188432779,16025.645635504863,5119.463236600255
19,600,21,168349.13695568775,1041.6693736882926,22165.330216408813,7.890046517391521e-05,9.017196019876024e-05,2.2542990049690053e-05,3.38144850745351e-05,1.1271495024845026e-05,1041.6693736882926,5266.401542232396,9491.1337107765,13715.865879320603,17940.598047864707,8016.625569318464
20,630,14,127488.74943087484,3356.080925029413,15473.884577433484,0.00014736286681456628,2.9472573362913258e-05,0.000117890293451653,2.947257336291325e-05,8.841772008873975e-05,3356.080925029413,5779.641655510227,8203.20238599104,10626.763116471855,13050.323846952671,9106.339245062489
21,660,24,160770.74796726953,2050.193385043196,24283.515827728617,0.00014992511091971197,4.685159716241e-05,9.370319432481998e-06,9.370319432481998e-06,9.370319432481998e-06,2050.193385043196,6496.857873580279,10943.522362117365,15390.186850654449,19836.851339191533,6698.7811653028975
22,690,25,159877.97529244644,1467.222466438814,22103.07137867984,0.0001259943320508467,5.815123017731387e-05,3.876748678487592e-05,9.691871696218984e-06,9.691871696218973e-06,1467.222466438814,5594.392248887019,9721.562031335225,13848.73181378343,17975.90159623163,6395.119011697858
23,720,25,148429.06501105454,2046.6295651902471,24384.17288367958,0.0001701171854854176,3.581414431271949e-05,0.0,8.953536078179872e-06,8.953536078179872e-06,2046.6295651902471,6514.138228888114,10981.64689258598,15449.155556283848,19916.664219981718,5937.162600442181
24,750,35,152760.15204572142,942.8537341916057,17027.972857188353,0.00023979572843997997,1.7762646551109628e-05,2.664396982666444e-05,8.881323275554814e-06,1.7762646551109628e-05,942.8537341916057,4159.877558790955,7376.901383390304,10593.925207989654,13810.949032589004,4364.575772734897
25,780,19,162417.10152633893,1428.1520834176554,22273.143031339063,7.574708822689608e-05,0.0001009961176358614,2.5249029408965357e-05,1.2624514704482675e-05,2.5249029408965343e-05,1428.1520834176554,5597.150273001937,9766.148462586218,13935.1466521705,18104.14484175478,8548.26850138626
26,810,22,152374.8923162489,1471.3170638663398,17869.1714091578,8.315943872424523e-05,0.000110879251632327,8.315943872424525e-05,1.3859906454040868e-05,1.3859906454040868e-05,1471.3170638663398,4750.887932924632,8030.458801982923,11310.029671041217,14589.600540099507,6926.131468920405
27,840,24,125868.38908655949,1173.18142826733,27888.394007128038,0.00014816776477629434,3.119321363711461e-05,0.0,0.0,7.798303409278652e-06,1173.18142826733,6516.2239440394715,11859.266459811612,17202.308975583754,22545.351491355894,5244.516211939978
28,870,21,134801.44258860886,2720.058215381869,16347.930574497916,0.0002096543599655626,6.988478665518752e-05,3.4942393327593753e-05,1.747119666379689e-05,3.494239332759378e-05,2720.058215381869,5445.632687205079,8171.2071590282885,10896.7816308515,13622.356102674707,6419.116313743279
29,900,12,106211.9241915998,3857.9069353643617,18371.403423813477,0.00014354455075600838,8.6126730453605e-05,5.741782030240337e-05,0.0,5.741782030240337e-05,3857.9069353643617,6760.6062330541845,9663.305530744008,12566.00482843383,15468.704126123655,8850.993682633316
30,930,14,109343.35178295162,2762.06462817218,26113.546565018052,0.0001376480397680437,6.117690656357498e-05,0.0,0.0,1.5294226640893745e-05,2762.06462817218,7432.3610155413535,12102.657402910527,16772.953790279702,21443.250177648875,7810.239413067973
31,960,11,43705.126086894285,1271.9792248926656,9496.026097146463,0.0002763514493570041,0.0001658108696142024,0.0,0.00011054057974280168,5.527028987140077e-05,1271.9792248926656,2916.788599343425,4561.597973794184,6206.407348244944,7851.2167226957035,3973.193280626753
